Student ID,School ID,School Name,Age at Enrollment,Gender,SES Quintile,SES Label,Household Size Index,Commute Distance (km),Digital Access,Digital Access Score,School Feeding,GPA Trend,Failed Subjects,Science Strength,Chronic Health Risk,Health Absences (days),Social Integration Score,Cash Flow Volatility,Academic Catch-up Flag,Counseling Access,Retained,Retained Flag,Dropout Reason,Risk Persona,Academic Risk Index,Barrier Burden Index,Economic Instability Index,Health Burden Index,Support Coverage Score,Long Commute Flag,High Academic Risk Flag,No Digital Access Flag,Recommended Intervention,Recommended Cost (KES),Sponsor Priority Score,Model Risk Score (oracle)
759,17,Malindi Shore Secondary,14,Boy,2,Q2 — Low,5,,Shared device,1.0,Yes,-2.564,4,No,Low,3,1,0.25,Yes,No,Yes,1,Still enrolled,Academic Strugglers,6.564,,0.45,3,1.5,No,Yes,No,School Fee Support,15000.0,2.738,0.815
760,14,Bungoma West Secondary,15,Boy,1,Q1 — Lowest,3,2.55,No access,0.0,Yes,-1.86,2,No,Moderate,12,0,0.258,No,No,Yes,1,Still enrolled,Health-Constrained,3.86,2.127,0.508,24,1.0,No,No,Yes,School Fee Support,15000.0,2.674,0.8853
761,4,Machakos Hilltop Secondary,13,Boy,1,Q1 — Lowest,6,5.58,No access,0.0,Yes,-2.189,4,No,Low,6,1,0.284,Yes,No,Yes,1,Still enrolled,Academic Strugglers,6.189,2.279,0.534,6,1.0,No,Yes,Yes,School Fee Support,15000.0,3.712,0.7733
762,1,Kilimani Day Secondary,15,Boy,1,Q1 — Lowest,4,20.0,No access,0.0,Yes,-1.819,2,No,Low,4,0,0.312,No,No,No,0,Commute Distance,Academic Strugglers,3.819,3.0,0.562,4,1.0,Yes,No,Yes,School Fee Support,15000.0,4.057,0.832
763,4,Machakos Hilltop Secondary,13,Girl,4,Q4 — High,4,11.14,No access,0.0,Yes,-0.906,1,Yes,Low,5,0,0.189,No,Yes,Yes,1,Still enrolled,Stable Achievers,1.906,1.957,0.289,5,2.0,Yes,No,Yes,,,,0.938
764,11,Kitale Plains Secondary,16,Girl,4,Q4 — High,3,10.7,Personal device,2.0,Yes,-0.677,2,Yes,High,15,1,0.23,No,,Yes,1,Still enrolled,Health-Constrained,2.677,0.935,0.33,45,,Yes,No,No,,,,0.9424
765,20,Busia Border Secondary,16,Boy,2,Q2 — Low,8,5.75,No access,0.0,Yes,-1.209,2,No,Moderate,11,2,,No,No,Yes,1,Still enrolled,Health-Constrained,3.209,2.088,,22,1.0,No,No,Yes,Health & Attendance Support,5000.0,1.91,0.8963
766,10,Nyeri Ridge Secondary,17,Girl,2,Q2 — Low,3,9.21,No access,0.0,No,-1.373,3,No,Low,2,0,0.266,No,No,Yes,1,Still enrolled,Academic Strugglers,4.373,2.26,0.466,2,0.0,Yes,Yes,Yes,School Fee Support,15000.0,3.074,0.8027
767,3,Kisumu Lakeside Secondary,14,Girl,4,Q4 — High,1,7.55,Personal device,2.0,No,0.105,1,No,Low,6,2,0.185,No,No,Yes,1,Still enrolled,Stable Achievers,0.895,0.778,0.285,6,1.0,No,No,No,,,,0.9637
768,1,Kilimani Day Secondary,16,Boy,2,Q2 — Low,6,4.26,Shared device,1.0,Yes,-0.52,1,No,Low,2,1,0.32,No,,Yes,1,Still enrolled,Academic Strugglers,1.52,1.513,0.52,2,,No,No,No,,,,0.9719
769,4,Machakos Hilltop Secondary,17,Girl,3,Q3 — Middle,3,1.72,No access,0.0,Yes,-1.001,2,No,Low,1,0,0.249,No,No,Yes,1,Still enrolled,Academic Strugglers,3.001,1.686,0.399,1,1.0,No,No,Yes,,,,0.9683
770,9,Kakamega Forest Secondary,14,Boy,4,Q4 — High,1,7.51,Personal device,2.0,Yes,0.253,2,No,Low,5,3,0.207,No,Yes,Yes,1,Still enrolled,Stable Achievers,1.747,0.776,0.307,5,3.0,No,No,No,,,,0.9884
771,9,Kakamega Forest Secondary,17,Girl,3,Q3 — Middle,3,0.91,Shared device,1.0,Yes,-0.887,1,Yes,Moderate,6,1,0.232,No,No,Yes,1,Still enrolled,Stable Achievers,1.887,1.146,0.382,12,1.5,No,No,No,,,,0.9578
772,7,Eldoret Highlands Secondary,14,Girl,5,Q5 — Highest,2,2.07,No access,0.0,Yes,-0.132,2,Yes,High,17,1,,No,No,Yes,1,Still enrolled,Health-Constrained,2.132,1.304,,51,1.0,No,No,Yes,,,,0.9549
773,13,Meru Mountain Secondary,14,Boy,1,Q1 — Lowest,3,9.4,Shared device,1.0,Yes,-1.959,3,No,Low,3,0,0.231,No,No,No,0,Other,Academic Strugglers,4.959,1.97,0.481,3,1.5,Yes,Yes,No,School Fee Support,15000.0,2.814,0.6767
774,5,Nakuru Valley Secondary,15,Boy,1,Q1 — Lowest,6,13.13,Shared device,1.0,No,-2.182,3,No,Moderate,11,0,0.32,No,No,Yes,1,Still enrolled,Academic Strugglers,5.182,2.156,0.57,22,0.5,Yes,Yes,No,School Fee Support,15000.0,4.167,0.6889
775,6,Mombasa Coast Secondary,17,Boy,5,Q5 — Highest,8,2.56,Personal device,2.0,Yes,0.526,0,No,Low,6,2,0.214,No,No,Yes,1,Still enrolled,Stable Achievers,-0.526,0.328,0.264,6,2.0,No,No,No,,,,0.9866
776,19,Isiolo North Secondary,14,Girl,3,Q3 — Middle,6,15.45,Shared device,1.0,Yes,-0.82,1,No,Low,5,1,0.278,No,,Yes,1,Still enrolled,Academic Strugglers,1.82,1.872,0.428,5,,Yes,No,No,School Fee Support,15000.0,1.833,0.8822
777,11,Kitale Plains Secondary,17,Girl,2,Q2 — Low,6,4.59,No access,0.0,Yes,-1.638,1,No,Moderate,9,1,0.303,No,No,Yes,1,Still enrolled,Academic Strugglers,2.638,2.03,0.503,18,1.0,No,No,Yes,School Fee Support,15000.0,2.941,0.8837
778,12,Garissa Horizon Secondary,16,Girl,5,Q5 — Highest,7,1.31,Shared device,1.0,Yes,-0.038,1,No,Moderate,11,1,0.215,No,No,Yes,1,Still enrolled,Stable Achievers,1.038,0.765,0.265,22,1.5,No,No,No,,,,0.9755
779,12,Garissa Horizon Secondary,15,Boy,5,Q5 — Highest,3,1.02,No access,0.0,Yes,0.316,0,No,High,22,1,0.158,No,No,No,0,Health Related,Health-Constrained,-0.316,1.251,0.208,66,1.0,No,No,Yes,Health & Attendance Support,5000.0,0.824,0.961
780,4,Machakos Hilltop Secondary,15,Girl,4,Q4 — High,3,9.46,No access,0.0,No,-1.673,3,No,Moderate,6,1,0.269,No,No,Yes,1,Still enrolled,Academic Strugglers,4.673,1.873,0.369,12,0.0,Yes,Yes,Yes,Academic Tutoring / Catch-up,8000.0,2.208,0.821
781,12,Garissa Horizon Secondary,15,Girl,1,Q1 — Lowest,5,4.14,No access,0.0,Yes,-2.398,4,No,Low,2,1,0.264,Yes,No,Yes,1,Still enrolled,Academic Strugglers,6.398,2.207,0.514,2,1.0,No,Yes,Yes,School Fee Support,15000.0,3.515,0.848
782,16,Kericho Highlands Secondary,15,Boy,2,Q2 — Low,5,,Shared device,1.0,Yes,-1.133,2,No,Low,3,1,0.291,No,No,Yes,1,Still enrolled,Academic Strugglers,3.133,,0.491,3,1.5,No,No,No,School Fee Support,15000.0,2.85,0.9306
783,1,Kilimani Day Secondary,14,Girl,4,Q4 — High,6,7.09,No access,0.0,Yes,-1.09,3,Yes,Low,6,1,0.246,No,Yes,No,0,Academic Performance,Stable Achievers,4.09,1.754,0.346,6,2.0,No,Yes,Yes,Academic Tutoring / Catch-up,8000.0,1.271,0.9702
784,8,Thika Green Secondary,16,Girl,2,Q2 — Low,2,,,,Yes,-2.249,3,No,Low,4,0,0.207,No,,Yes,1,Still enrolled,Academic Strugglers,5.249,,0.407,4,,No,Yes,No,Academic Tutoring / Catch-up,8000.0,2.411,0.7331
785,6,Mombasa Coast Secondary,13,Boy,3,Q3 — Middle,5,2.95,Personal device,2.0,Yes,-1.215,1,Yes,Low,5,1,0.291,No,No,Yes,1,Still enrolled,Stable Achievers,2.215,0.747,0.441,5,2.0,No,No,No,,,,0.9648
786,12,Garissa Horizon Secondary,14,Boy,4,Q4 — High,2,2.59,No access,0.0,No,-2.074,2,No,Low,3,1,0.269,No,Yes,Yes,1,Still enrolled,Stable Achievers,4.074,1.53,0.369,3,1.0,No,No,Yes,,,,0.9357
787,19,Isiolo North Secondary,15,Boy,3,Q3 — Middle,4,3.71,No access,0.0,No,-2.472,3,No,Low,5,0,0.305,No,No,Yes,1,Still enrolled,Academic Strugglers,5.472,1.785,0.455,5,0.0,No,Yes,Yes,School Fee Support,15000.0,2.509,0.8463
788,8,Thika Green Secondary,17,Boy,2,Q2 — Low,5,,No access,0.0,Yes,-1.034,2,No,Low,4,2,0.32,No,No,Yes,1,Still enrolled,Academic Strugglers,3.034,,0.52,4,1.0,No,No,Yes,School Fee Support,15000.0,2.978,0.9185
789,2,Nyandarua Mixed Secondary,17,Girl,3,Q3 — Middle,4,2.9,,,Yes,-0.755,0,No,Low,5,0,0.183,No,No,Yes,1,Still enrolled,Stable Achievers,0.755,,0.333,5,,No,No,No,,,,0.94
790,13,Meru Mountain Secondary,16,Girl,5,Q5 — Highest,4,6.27,Personal device,2.0,No,1.191,0,No,High,16,1,,No,No,Yes,1,Still enrolled,Stable Achievers,-1.191,0.513,,48,1.0,No,No,No,,,,0.9789
791,7,Eldoret Highlands Secondary,13,Girl,2,Q2 — Low,5,4.58,Shared device,1.0,Yes,-2.006,4,No,High,17,0,0.32,Yes,No,Yes,1,Still enrolled,Health-Constrained,6.006,1.529,0.52,51,1.5,No,Yes,No,School Fee Support,15000.0,3.722,0.4876
792,14,Bungoma West Secondary,16,Girl,2,Q2 — Low,5,1.69,No access,0.0,Yes,-4.0,7,No,Moderate,10,0,0.32,Yes,No,Yes,1,Still enrolled,Health-Constrained,11.0,1.884,0.52,20,1.0,No,Yes,Yes,School Fee Support,15000.0,4.34,0.423
793,3,Kisumu Lakeside Secondary,16,Boy,3,Q3 — Middle,4,5.95,Personal device,2.0,Yes,-1.957,3,No,Moderate,6,1,,No,Yes,Yes,1,Still enrolled,Stable Achievers,4.957,0.898,,12,3.0,No,Yes,No,Academic Tutoring / Catch-up,8000.0,1.857,0.926
794,6,Mombasa Coast Secondary,17,Boy,1,Q1 — Lowest,3,1.98,No access,0.0,Yes,-1.906,2,No,Moderate,8,1,0.308,No,Yes,Yes,1,Still enrolled,Academic Strugglers,3.906,2.099,0.558,16,2.0,No,No,Yes,School Fee Support,15000.0,3.334,0.929
795,8,Thika Green Secondary,16,Girl,2,Q2 — Low,4,4.05,No access,0.0,Yes,-0.851,1,No,Low,3,1,,No,,Yes,1,Still enrolled,Academic Strugglers,1.851,2.003,,3,,No,No,Yes,,,,0.9658
796,17,Malindi Shore Secondary,16,Girl,2,Q2 — Low,5,5.31,No access,0.0,Yes,-0.403,1,No,Moderate,7,0,0.286,No,Yes,Yes,1,Still enrolled,Academic Strugglers,1.403,2.065,0.486,14,2.0,No,No,Yes,,,,0.9535
797,12,Garissa Horizon Secondary,14,Girl,4,Q4 — High,5,,,,Yes,1.261,0,No,Moderate,5,0,0.243,No,No,Yes,1,Still enrolled,Stable Achievers,-1.261,,0.343,10,,No,No,No,,,,0.9889
798,13,Meru Mountain Secondary,16,Girl,4,Q4 — High,1,1.59,Shared device,1.0,No,-0.927,2,No,Moderate,14,0,0.164,No,Yes,Yes,1,Still enrolled,Stable Achievers,2.927,0.979,0.264,28,1.5,No,No,No,,,,0.9186
799,15,Embu Sunrise Secondary,15,Girl,4,Q4 — High,1,9.45,No access,0.0,No,0.138,0,No,Low,6,0,,No,No,Yes,1,Still enrolled,Stable Achievers,-0.138,1.872,,6,0.0,Yes,No,Yes,,,,0.9584
800,13,Meru Mountain Secondary,16,Girl,1,Q1 — Lowest,7,4.58,No access,0.0,Yes,-1.391,2,No,Moderate,16,2,0.256,No,No,No,0,Health Related,Health-Constrained,3.391,2.229,0.506,32,1.0,No,No,Yes,School Fee Support,15000.0,2.729,0.8073
801,18,Narok Savannah Secondary,13,Girl,1,Q1 — Lowest,1,1.24,No access,0.0,No,-0.469,1,Yes,Low,2,1,0.228,No,No,Yes,1,Still enrolled,Academic Strugglers,1.469,2.062,0.478,2,0.0,No,No,Yes,,,,0.9608
802,5,Nakuru Valley Secondary,16,Girl,5,Q5 — Highest,4,1.89,Personal device,2.0,No,1.221,0,No,Low,8,0,0.228,No,No,Yes,1,Still enrolled,Stable Achievers,-1.221,0.295,0.278,8,1.0,No,No,No,,,,0.9756
803,13,Meru Mountain Secondary,15,Boy,3,Q3 — Middle,3,4.07,Shared device,1.0,No,-1.493,2,No,Low,7,2,0.195,No,Yes,Yes,1,Still enrolled,Stable Achievers,3.493,1.304,0.345,7,1.5,No,No,No,,,,0.9343
804,6,Mombasa Coast Secondary,17,Girl,5,Q5 — Highest,3,6.96,Personal device,2.0,Yes,0.574,0,Yes,Low,3,1,0.175,No,No,Yes,1,Still enrolled,Stable Achievers,-0.574,0.548,0.225,3,2.0,No,No,No,,,,0.9947
805,12,Garissa Horizon Secondary,17,Girl,2,Q2 — Low,5,8.39,No access,0.0,Yes,-0.972,1,No,Low,6,2,0.249,No,No,Yes,1,Still enrolled,Academic Strugglers,1.972,2.22,0.449,6,1.0,Yes,No,Yes,School Fee Support,15000.0,1.771,0.8937
806,8,Thika Green Secondary,15,Girl,1,Q1 — Lowest,2,1.3,No access,0.0,Yes,-1.84,4,No,Low,7,1,,Yes,,Yes,1,Still enrolled,Academic Strugglers,5.84,2.065,,7,,No,Yes,Yes,Academic Tutoring / Catch-up,8000.0,2.768,0.93
807,19,Isiolo North Secondary,15,Boy,3,Q3 — Middle,4,4.5,No access,0.0,Yes,-0.159,1,No,Low,1,1,0.229,No,Yes,Yes,1,Still enrolled,Stable Achievers,1.159,1.825,0.379,1,2.0,No,No,Yes,,,,0.9698
808,1,Kilimani Day Secondary,14,Boy,1,Q1 — Lowest,6,0.98,No access,0.0,Yes,-1.279,2,No,Moderate,6,0,0.221,No,No,Yes,1,Still enrolled,Academic Strugglers,3.279,2.049,0.471,12,1.0,No,No,Yes,School Fee Support,15000.0,2.261,0.9498
809,11,Kitale Plains Secondary,13,Girl,2,Q2 — Low,4,13.94,No access,0.0,No,-1.256,1,Yes,Low,1,2,0.32,No,No,Yes,1,Still enrolled,Academic Strugglers,2.256,2.497,0.52,1,0.0,Yes,No,Yes,School Fee Support,15000.0,3.181,0.8542
810,2,Nyandarua Mixed Secondary,13,Boy,2,Q2 — Low,5,10.08,Personal device,2.0,Yes,-2.159,2,Yes,High,13,0,0.228,No,No,Yes,1,Still enrolled,Health-Constrained,4.159,1.304,0.428,39,2.0,Yes,No,No,Health & Attendance Support,5000.0,2.672,0.6978
811,8,Thika Green Secondary,13,Girl,4,Q4 — High,7,7.33,Shared device,1.0,Yes,-0.153,0,Yes,Low,6,1,,No,No,Yes,1,Still enrolled,Stable Achievers,0.153,1.266,,6,1.5,No,No,No,,,,0.9773
812,14,Bungoma West Secondary,17,Boy,3,Q3 — Middle,5,7.67,No access,0.0,No,-0.972,1,No,Low,2,0,0.236,No,No,Yes,1,Still enrolled,Academic Strugglers,1.972,1.984,0.386,2,0.0,No,No,Yes,,,,0.8867
813,5,Nakuru Valley Secondary,15,Girl,3,Q3 — Middle,2,2.92,No access,0.0,Yes,-1.231,4,No,Low,7,1,0.245,Yes,No,Yes,1,Still enrolled,Academic Strugglers,5.231,1.746,0.395,7,1.0,No,Yes,Yes,Academic Tutoring / Catch-up,8000.0,1.879,0.9634
814,7,Eldoret Highlands Secondary,13,Boy,2,Q2 — Low,5,16.77,,,Yes,-2.097,3,No,Low,7,0,0.28,No,Yes,No,0,Other,Academic Strugglers,5.097,,0.48,7,,Yes,Yes,No,School Fee Support,15000.0,3.748,0.6424
815,14,Bungoma West Secondary,14,Boy,5,Q5 — Highest,6,3.32,Shared device,1.0,Yes,0.735,0,No,Low,5,1,0.142,No,Yes,Yes,1,Still enrolled,Stable Achievers,-0.735,0.866,0.192,5,2.5,No,No,No,,,,0.9918
816,15,Embu Sunrise Secondary,17,Boy,5,Q5 — Highest,5,3.15,Shared device,1.0,No,0.41,0,No,Low,7,0,0.165,No,No,Yes,1,Still enrolled,Stable Achievers,-0.41,0.858,0.215,7,0.5,No,No,No,,,,0.981
817,13,Meru Mountain Secondary,16,Boy,3,Q3 — Middle,8,1.66,No access,0.0,Yes,-2.689,5,Yes,Moderate,9,1,0.189,Yes,No,Yes,1,Still enrolled,Health-Constrained,7.689,1.683,0.339,18,1.0,No,Yes,Yes,Academic Tutoring / Catch-up,8000.0,1.888,0.9152
818,2,Nyandarua Mixed Secondary,14,Boy,3,Q3 — Middle,8,3.58,Shared device,1.0,Yes,0.335,0,No,Low,0,1,0.296,No,No,Yes,1,Still enrolled,Academic Strugglers,-0.335,1.279,0.446,0,1.5,No,No,No,,,,0.975
819,7,Eldoret Highlands Secondary,14,Girl,1,Q1 — Lowest,6,,No access,0.0,Yes,-1.478,2,No,Low,7,0,0.277,No,No,Yes,1,Still enrolled,Academic Strugglers,3.478,,0.527,7,1.0,No,No,Yes,School Fee Support,15000.0,3.247,0.7022
820,15,Embu Sunrise Secondary,17,Boy,4,Q4 — High,1,0.93,No access,0.0,Yes,-1.205,1,No,Moderate,9,1,0.211,No,No,Yes,1,Still enrolled,Stable Achievers,2.205,1.446,0.311,18,1.0,No,No,Yes,,,,0.975
821,18,Narok Savannah Secondary,15,Boy,3,Q3 — Middle,5,7.59,Personal device,2.0,No,-0.714,3,No,Low,7,0,0.295,No,No,Yes,1,Still enrolled,Academic Strugglers,3.714,0.979,0.445,7,1.0,No,Yes,No,Academic Tutoring / Catch-up,8000.0,1.999,0.7988
822,5,Nakuru Valley Secondary,13,Boy,1,Q1 — Lowest,7,8.34,No access,0.0,Yes,-1.904,3,No,Low,6,1,0.288,No,No,Yes,1,Still enrolled,Academic Strugglers,4.904,2.417,0.538,6,1.0,Yes,Yes,Yes,School Fee Support,15000.0,3.64,0.8149
823,8,Thika Green Secondary,16,Boy,1,Q1 — Lowest,6,2.35,No access,0.0,Yes,-2.059,2,No,Moderate,9,0,0.32,No,No,Yes,1,Still enrolled,Academic Strugglers,4.059,2.118,0.57,18,1.0,No,No,Yes,School Fee Support,15000.0,3.462,0.8766
824,18,Narok Savannah Secondary,14,Girl,1,Q1 — Lowest,8,5.14,No access,0.0,Yes,-3.87,5,No,Low,6,1,0.315,Yes,Yes,Yes,1,Still enrolled,Academic Strugglers,8.87,2.257,0.565,6,2.0,No,Yes,Yes,School Fee Support,15000.0,4.36,0.4199
825,3,Kisumu Lakeside Secondary,16,Girl,2,Q2 — Low,6,5.24,No access,0.0,Yes,-2.015,3,No,Moderate,8,0,0.314,No,Yes,Yes,1,Still enrolled,Academic Strugglers,5.015,2.062,0.514,16,2.0,No,Yes,Yes,School Fee Support,15000.0,3.382,0.6692
826,19,Isiolo North Secondary,16,Boy,3,Q3 — Middle,6,13.71,Personal device,2.0,Yes,-0.074,0,No,Moderate,12,1,,No,,Yes,1,Still enrolled,Health-Constrained,0.074,1.286,,24,,Yes,No,No,,,,0.9795
827,8,Thika Green Secondary,15,Boy,1,Q1 — Lowest,5,3.43,No access,0.0,Yes,-1.769,4,No,Low,5,0,0.32,Yes,No,No,0,Financial Instability,Academic Strugglers,5.769,2.172,0.57,5,1.0,No,Yes,Yes,School Fee Support,15000.0,3.66,0.8257
828,14,Bungoma West Secondary,14,Boy,5,Q5 — Highest,2,1.91,Personal device,2.0,Yes,-0.936,4,Yes,Low,4,0,0.161,Yes,No,Yes,1,Still enrolled,Stable Achievers,4.936,0.296,0.211,4,2.0,No,Yes,No,,,,0.9689
829,9,Kakamega Forest Secondary,16,Girl,1,Q1 — Lowest,5,7.0,,,Yes,-0.307,0,Yes,Low,4,0,0.318,No,No,Yes,1,Still enrolled,Academic Strugglers,0.307,,0.568,4,,No,No,No,School Fee Support,15000.0,2.859,0.9679
830,8,Thika Green Secondary,15,Girl,1,Q1 — Lowest,4,9.93,Shared device,1.0,Yes,-0.901,2,No,Low,7,1,0.238,No,Yes,No,0,Household Pressure,Academic Strugglers,2.901,1.997,0.488,7,2.5,Yes,No,No,School Fee Support,15000.0,2.607,0.9243
831,8,Thika Green Secondary,16,Girl,4,Q4 — High,3,6.87,Shared device,1.0,Yes,-0.343,0,Yes,Moderate,5,1,0.22,No,No,Yes,1,Still enrolled,Stable Achievers,0.343,1.244,0.32,10,1.5,No,No,No,,,,0.9869
832,1,Kilimani Day Secondary,14,Boy,3,Q3 — Middle,9,6.56,No access,0.0,No,-3.474,5,No,High,12,0,,Yes,Yes,Yes,1,Still enrolled,Health-Constrained,8.474,1.928,,36,1.0,No,Yes,Yes,Health & Attendance Support,5000.0,2.985,0.5264
833,19,Isiolo North Secondary,16,Boy,4,Q4 — High,4,14.82,Shared device,1.0,No,-1.178,3,No,Low,6,1,0.243,No,Yes,Yes,1,Still enrolled,Stable Achievers,4.178,1.641,0.343,6,1.5,Yes,Yes,No,Transport / Boarding Support,6000.0,1.545,0.8283
834,16,Kericho Highlands Secondary,13,Boy,5,Q5 — Highest,2,3.57,Personal device,2.0,Yes,-0.438,2,No,Moderate,7,1,0.207,No,No,Yes,1,Still enrolled,Stable Achievers,2.438,0.379,0.257,14,2.0,No,No,No,,,,0.9729
835,19,Isiolo North Secondary,14,Boy,5,Q5 — Highest,1,5.03,Personal device,2.0,Yes,-0.938,0,No,Low,3,1,0.246,No,No,Yes,1,Still enrolled,Stable Achievers,0.938,0.452,0.296,3,2.0,No,No,No,,,,0.9901
836,12,Garissa Horizon Secondary,17,Boy,3,Q3 — Middle,6,1.33,Personal device,2.0,Yes,0.807,1,No,Low,4,2,,No,Yes,Yes,1,Still enrolled,Stable Achievers,0.193,0.666,,4,3.0,No,No,No,,,,0.9909
837,20,Busia Border Secondary,15,Girl,3,Q3 — Middle,7,,Shared device,1.0,Yes,-0.567,2,No,Low,3,1,0.263,No,No,Yes,1,Still enrolled,Academic Strugglers,2.567,,0.413,3,1.5,No,No,No,,,,0.9639
838,2,Nyandarua Mixed Secondary,15,Girl,1,Q1 — Lowest,7,,No access,0.0,No,-4.0,6,No,Low,6,1,,Yes,No,Yes,1,Still enrolled,Academic Strugglers,10.0,,,6,0.0,No,Yes,Yes,Academic Tutoring / Catch-up,8000.0,3.572,0.4408
839,8,Thika Green Secondary,16,Girl,2,Q2 — Low,3,,Shared device,1.0,Yes,0.684,0,No,Low,6,1,0.205,No,No,Yes,1,Still enrolled,Stable Achievers,-0.684,,0.405,6,1.5,No,No,No,,,,0.9665
840,12,Garissa Horizon Secondary,16,Boy,2,Q2 — Low,5,,No access,0.0,Yes,-0.487,1,No,Low,9,1,0.32,No,No,Yes,1,Still enrolled,Academic Strugglers,1.487,,0.52,9,1.0,No,No,Yes,School Fee Support,15000.0,2.811,0.9588
841,10,Nyeri Ridge Secondary,13,Boy,1,Q1 — Lowest,4,6.09,No access,0.0,Yes,-1.453,2,No,Moderate,11,1,0.222,No,,Yes,1,Still enrolled,Health-Constrained,3.453,2.304,0.472,22,,No,No,Yes,School Fee Support,15000.0,2.581,0.7379
842,1,Kilimani Day Secondary,14,Boy,3,Q3 — Middle,2,2.36,No access,0.0,Yes,-0.759,2,No,Low,6,0,0.232,No,,Yes,1,Still enrolled,Stable Achievers,2.759,1.718,0.382,6,,No,No,Yes,,,,0.963
843,3,Kisumu Lakeside Secondary,16,Boy,1,Q1 — Lowest,7,13.83,No access,0.0,Yes,-3.596,4,No,Low,11,1,0.296,Yes,No,No,0,Other,Academic Strugglers,7.596,2.691,0.546,11,1.0,Yes,Yes,Yes,School Fee Support,15000.0,4.561,0.2507
844,10,Nyeri Ridge Secondary,15,Boy,3,Q3 — Middle,4,7.89,,,Yes,-0.053,1,Yes,Moderate,11,0,0.3,No,Yes,No,0,Health Related,Health-Constrained,1.053,,0.45,22,,No,No,No,School Fee Support,15000.0,1.641,0.8999
845,17,Malindi Shore Secondary,15,Boy,5,Q5 — Highest,3,3.28,No access,0.0,No,-0.09,1,No,Low,6,1,0.169,No,No,Yes,1,Still enrolled,Stable Achievers,1.09,1.364,0.219,6,0.0,No,No,Yes,,,,0.9819
846,13,Meru Mountain Secondary,17,Girl,2,Q2 — Low,6,7.63,No access,0.0,Yes,-1.494,2,No,Low,7,1,0.247,No,No,Yes,1,Still enrolled,Academic Strugglers,3.494,2.182,0.447,7,1.0,No,No,Yes,School Fee Support,15000.0,1.934,0.915
847,6,Mombasa Coast Secondary,17,Boy,3,Q3 — Middle,3,10.28,No access,0.0,Yes,-1.828,3,No,Low,7,1,0.273,No,No,Yes,1,Still enrolled,Academic Strugglers,4.828,2.114,0.423,7,1.0,Yes,Yes,Yes,Academic Tutoring / Catch-up,8000.0,2.552,0.7718
848,17,Malindi Shore Secondary,17,Girl,1,Q1 — Lowest,5,5.67,No access,0.0,No,-1.089,2,No,Moderate,9,2,0.293,No,No,Yes,1,Still enrolled,Academic Strugglers,3.089,2.283,0.543,18,0.0,No,No,Yes,School Fee Support,15000.0,3.271,0.8367
849,18,Narok Savannah Secondary,13,Boy,2,Q2 — Low,7,4.09,No access,0.0,Yes,-2.609,2,No,Moderate,12,0,0.216,No,No,No,0,Health Related,Health-Constrained,4.609,2.005,0.416,24,1.0,No,No,Yes,Health & Attendance Support,5000.0,2.467,0.6656
850,6,Mombasa Coast Secondary,15,Girl,1,Q1 — Lowest,6,0.93,Shared device,1.0,Yes,-1.533,1,No,Low,5,1,0.312,No,No,Yes,1,Still enrolled,Academic Strugglers,2.533,1.546,0.562,5,1.5,No,No,No,School Fee Support,15000.0,3.008,0.9284
851,19,Isiolo North Secondary,13,Girl,2,Q2 — Low,4,2.09,Personal device,2.0,Yes,0.083,1,No,Low,2,1,0.282,No,No,Yes,1,Still enrolled,Stable Achievers,0.917,0.905,0.482,2,2.0,No,No,No,,,,0.986
852,5,Nakuru Valley Secondary,16,Girl,1,Q1 — Lowest,2,9.07,,,Yes,-2.199,3,No,Low,3,0,0.23,No,,Yes,1,Still enrolled,Academic Strugglers,5.199,,0.48,3,,Yes,Yes,No,School Fee Support,15000.0,2.843,0.8371
853,12,Garissa Horizon Secondary,14,Boy,2,Q2 — Low,3,20.0,No access,0.0,Yes,-1.185,2,No,Low,8,2,0.208,No,No,Yes,1,Still enrolled,Academic Strugglers,3.185,2.8,0.408,8,1.0,Yes,No,Yes,Transport / Boarding Support,6000.0,2.156,0.7931
854,7,Eldoret Highlands Secondary,13,Girl,4,Q4 — High,8,0.38,No access,0.0,Yes,0.776,1,No,High,18,0,0.171,No,Yes,Yes,1,Still enrolled,Health-Constrained,0.224,1.419,0.271,54,2.0,No,No,Yes,,,,0.9449
855,15,Embu Sunrise Secondary,16,Girl,4,Q4 — High,6,8.87,Personal device,2.0,Yes,0.812,0,No,Moderate,14,1,0.175,No,No,Yes,1,Still enrolled,Stable Achievers,-0.812,0.844,0.275,28,2.0,Yes,No,No,,,,0.9762
856,2,Nyandarua Mixed Secondary,14,Girl,5,Q5 — Highest,1,0.86,Shared device,1.0,Yes,0.455,0,Yes,Low,5,1,0.154,No,Yes,Yes,1,Still enrolled,Stable Achievers,-0.455,0.743,0.204,5,2.5,No,No,No,,,,0.9904
857,2,Nyandarua Mixed Secondary,17,Girl,5,Q5 — Highest,3,5.06,No access,0.0,No,0.026,1,No,Low,6,3,0.242,No,Yes,Yes,1,Still enrolled,Stable Achievers,0.974,1.453,0.292,6,1.0,No,No,Yes,,,,0.9641
858,19,Isiolo North Secondary,15,Girl,3,Q3 — Middle,2,7.12,Personal device,2.0,Yes,0.073,0,Yes,Low,7,1,0.205,No,No,Yes,1,Still enrolled,Stable Achievers,-0.073,0.956,0.355,7,2.0,No,No,No,,,,0.9923
